Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Dacia Logan 1.2;Renaut Clio Campus 1.5;Dacia Sandero 1.2;Toyota Aygo 1.2 d;Fiat Grande Punto 1.2 e;Fiat Grande Punto 1.3 d;Renault Clio Campus.com e;Renault Clio Campus.com GPL;Renault Clio Campus.com dci;
177000;29028.811;24809.238;27332.886;27329.876;31297.269;25313.746;26505.327;25107.585;2458.53;1412.46;2246.13;
178000;29088.454;24873.132;27419.004;27395.864;31398.666;25367.044;26587.278;25164.69;2472.42;1420.44;2258.82;
179000;29148.097;24937.026;27505.122;27461.852;31500.063;25420.342;26669.229;25221.795;2486.31;1428.42;2271.51;
180000;29327.74;25660.92;27671.24;27877.84;31701.46;26303.64;26751.18;25278.9;2500.2;1436.4;2284.2;
181000;29387.383;25724.814;27757.358;27943.828;31802.857;26356.938;26833.131;25336.005;2514.09;1444.38;2296.89;
182000;29447.026;25788.708;27843.476;28009.816;31904.254;26410.236;26915.082;25393.11;2527.98;1452.36;2309.58;
183000;29506.669;25852.602;27929.594;28075.804;32005.651;26463.534;26997.033;25450.215;2541.87;1460.34;2322.27;
184000;29566.312;25916.496;28015.712;28141.792;32107.048;26516.832;27078.984;25507.32;2555.76;1468.32;2334.96;
185000;29625.955;25980.39;28101.83;28207.78;32208.445;26570.13;27160.935;25564.425;2569.65;1476.3;2347.65;
186000;29685.598;26044.284;28187.948;28273.768;32309.842;26623.428;27242.886;25621.53;2583.54;1484.28;2360.34;
187000;29745.241;26108.178;28274.066;28339.756;32411.239;26676.726;27324.837;25678.635;2597.43;1492.26;2373.03;
188000;30338.884;26552.072;28710.184;28855.744;32862.636;27110.024;27406.788;25735.74;2611.32;1500.24;2385.72;
189000;30398.527;26615.966;28796.302;28921.732;32964.033;27163.322;27488.739;25792.845;2625.21;1508.22;2398.41;
190000;31208.17;26679.86;28882.42;28987.72;33065.43;27216.62;27570.69;25849.95;2639.1;1516.2;2411.1;
191000;31267.813;26743.754;28968.538;29053.708;33166.827;27269.918;27652.641;25907.055;2652.99;1524.18;2423.79;
192000;31327.456;26807.648;29054.656;29119.696;33268.224;27323.216;27734.592;25964.16;2666.88;1532.16;2436.48;
193000;31387.099;26871.542;29140.774;29185.684;33369.621;27376.514;27816.543;26021.265;2680.77;1540.14;2449.17;
194000;31446.742;26935.436;29226.892;29251.672;33471.018;27429.812;27898.494;26078.37;2694.66;1548.12;2461.86;
195000;31626.385;27109.33;29313.01;29317.66;33572.415;27483.11;27980.445;26135.475;2708.55;1556.1;2474.55;
196000;31686.028;27173.224;29399.128;29383.648;33673.812;27536.408;28062.396;26192.58;2722.44;1564.08;2487.24;
197000;31745.671;27237.118;29485.246;29449.636;33775.209;27589.706;28144.347;26249.685;2736.33;1572.06;2499.93;
198000;31805.314;27301.012;29571.364;29515.624;33876.606;27643.004;28226.298;26306.79;2750.22;1580.04;2512.62;
199000;31864.957;27364.906;29657.482;29581.612;33978.003;27696.302;28308.249;26363.895;2764.11;1588.02;2525.31;
200000;31924.6;27428.8;29823.6;29997.6;34179.4;27979.6;28390.2;26421.0;2778.0;1596.0;2538.0;
201000;31984.243;27492.694;29909.718;30063.588;34280.797;28032.898;28472.151;26478.105;2791.89;1603.98;2550.69;
202000;32043.886;27556.588;29995.836;30129.576;34382.194;28086.196;28554.102;26535.21;2805.78;1611.96;2563.38;
203000;32103.529;27620.482;30081.954;30195.564;34483.591;28139.494;28636.053;26592.315;2819.67;1619.94;2576.07;
204000;32163.172;27684.376;30168.072;30261.552;34584.988;28192.792;28718.004;26649.42;2833.56;1627.92;2588.76;
205000;32222.815;27748.27;30254.19;30327.54;34686.385;28246.09;28799.955;26706.525;2847.45;1635.9;2601.45;
206000;32282.458;27812.164;30340.308;30393.528;34787.782;28299.388;28881.906;26763.63;2861.34;1643.88;2614.14;
207000;32342.101;27876.058;30426.426;30459.516;34889.179;28352.686;28963.857;26820.735;2875.23;1651.86;2626.83;
208000;32401.744;27939.952;30512.544;30525.504;34990.576;28405.984;29045.808;26877.84;2889.12;1659.84;2639.52;
209000;32461.387;28003.846;30598.662;30591.492;35091.973;28459.282;29127.759;26934.945;2903.01;1667.82;2652.21;
210000;32641.03;28177.74;30684.78;30657.48;35193.37;28512.58;29209.71;26992.05;2916.9;1675.8;2664.9;
211000;32700.673;28241.634;30770.898;30723.468;35294.767;28565.878;29291.661;27049.155;2930.79;1683.78;2677.59;
212000;32760.316;28305.528;30857.016;30789.456;35396.164;28619.176;29373.612;27106.26;2944.68;1691.76;2690.28;
213000;32819.959;28369.422;30943.134;30855.444;35497.561;28672.474;29455.563;27163.365;2958.57;1699.74;2702.97;
214000;32879.602;28433.316;31029.252;30921.432;35598.958;28725.772;29537.514;27220.47;2972.46;1707.72;2715.66;
215000;32939.245;28497.21;31115.37;30987.42;35700.355;28779.07;29619.465;27277.575;2986.35;1715.7;2728.35;
216000;32998.888;28561.104;31201.488;31053.408;35801.752;28832.368;29701.416;27334.68;3000.24;1723.68;2741.04;
217000;33058.531;28624.998;31287.606;31119.396;35903.149;28885.666;29783.367;27391.785;3014.13;1731.66;2753.73;
218000;33118.174;28688.892;31373.724;31185.384;36004.546;28938.964;29865.318;27448.89;3028.02;1739.64;2766.42;
