Kilometres;Dacia Sandero 1.2;Dacia Logan 1.2;Fiat Panda 1.3 d;Dacia Logan 1.5 dci;Fiat Punto Evo 1.3 d;Renaut Clio Campus 1.5;Skoda Fabia 1.2 e;Skoda Fabia 1.4 TDI;Fiat Panda 1.2 e;Fiat Punto Evo 1.2 e;Renault Clio III essence 75 ch;Toyota Yaris;Toyota Aygo 1.1
158000;30385.486;24779.39476;23817.404;26410.948;26687.942;26712.024;28643.12082;27437.74546;22687.518;24952.264;25011.756;31956.328;23402.772;
159000;30497.103;24863.76498;23875.742;26485.954;26744.891;26784.252;28723.40861;27495.84733;22762.439;25031.772;25100.438;32017.444;23473.106;
160000;31208.72;25419.8352;23934.08;27090.96;26801.84;27206.48;28803.6964;27553.9492;22837.36;25111.28;25189.12;32078.56;23543.44;
161000;31320.337;25504.20542;23992.418;27165.966;26858.789;27278.708;28883.98419;27612.05107;22912.281;25190.788;25277.802;32139.676;23613.774;
162000;31431.954;25588.57564;24050.756;27240.972;26915.738;27350.936;28964.27198;27670.15294;22987.202;25270.296;25366.484;32200.792;23684.108;
163000;31543.571;25672.94586;24109.094;27315.978;26972.687;27423.164;29044.55977;27728.25481;23062.123;25349.804;25455.166;32261.908;23754.442;
164000;31655.188;25757.31608;24167.432;27390.984;27029.636;27495.392;29124.84756;27786.35668;23137.044;25429.312;25543.848;32323.024;23824.776;
165000;31766.805;25841.6863;24375.77;27465.99;27086.585;27567.62;29311.93535;27951.25855;23211.965;25508.82;25632.53;32704.14;23895.11;
166000;31878.422;25926.05652;24434.108;27540.996;27143.534;27639.848;29392.22314;28009.36042;23286.886;25588.328;25721.212;32765.256;23965.444;
167000;31990.039;26010.42674;24492.446;27616.002;27200.483;27712.076;29472.51093;28067.46229;23361.807;25667.836;25809.894;32826.372;24035.778;
168000;32101.656;26094.79696;24550.784;27691.008;27257.432;27784.304;29552.79872;28125.56416;23436.728;25747.344;25898.576;32887.488;24106.112;
169000;32213.273;26179.16718;24609.122;27766.014;27314.381;27856.532;29633.08651;28183.66603;23511.649;25826.852;25987.258;32948.604;24176.446;
170000;32324.89;26263.5374;24667.46;27841.02;27371.33;27928.76;29713.3743;28241.7679;23586.57;25906.36;26075.94;33009.72;24246.78;
171000;32436.507;26347.90762;24725.798;27916.026;27428.279;28000.988;29793.66209;28299.86977;23661.491;25985.868;26164.622;33070.836;24317.114;
172000;32548.124;26432.27784;24784.136;27991.032;27485.228;28073.216;29873.94988;28357.97164;23736.412;26065.376;26253.304;33131.952;24387.448;
173000;32659.741;26516.64806;24842.474;28066.038;27542.177;28145.444;29954.23767;28416.07351;23811.333;26144.884;26341.986;33193.068;24457.782;
174000;32771.358;26601.01828;24900.812;28141.044;27599.126;28217.672;30034.52546;28474.17538;23886.254;26224.392;26430.668;33254.184;24528.116;
175000;32882.975;26685.3885;24959.15;28216.05;27656.075;28289.9;30114.81325;28532.27725;23961.175;26303.9;26519.35;33315.3;24598.45;
176000;32994.592;26769.75872;25017.488;28291.056;27713.024;28362.128;30195.10104;28590.37912;24036.096;26383.408;26608.032;33376.416;24668.784;
177000;33106.209;26854.12894;25075.826;28366.062;27769.973;28434.356;30275.38883;28648.48099;24111.017;26462.916;26696.714;33437.532;24739.118;
